	TOTAL MEMORY : 8020512
 
[32m	PID	 TIME	          MEMORY
[00m	1	 0.000001 	  225608 kB

	341	 0.000001 	  345400 kB

	373	 0.000000 	   46620 kB

	584	 0.000001 	   71152 kB

	585	 0.000001 	  146108 kB

	736	 0.000001 	  110512 kB

	738	 0.000001 	  186996 kB

	740	 0.000000 	  308536 kB

	741	 0.000000 	  107684 kB

	744	 0.000000 	   38424 kB

	746	 0.000001 	   51872 kB

	767	 0.000001 	  263028 kB

	768	 0.000000 	  518180 kB

	789	 0.000001 	   45760 kB

	792	 0.000001 	  177636 kB

	796	 0.000000 	   47264 kB

	797	 0.000000 	   36488 kB

	801	 0.000001 	  434328 kB

	803	 0.000001 	   47072 kB

	820	 0.000001 	   70868 kB

	822	 0.000000 	    4548 kB

	823	 0.000000 	  657364 kB

	870	 0.000000 	  303652 kB

	871	 0.000000 	  321768 kB

	939	 0.000000 	 1607712 kB

	1028	 0.000000 	  194344 kB

	1040	 0.000001 	  308052 kB

	1053	 0.000000 	  261556 kB

	1065	 0.000000 	   85544 kB

	1066	 0.000000 	  114220 kB

	1078	 0.000001 	  197796 kB

	1080	 0.000001 	   50256 kB

	1082	 0.000001 	  567072 kB

	1093	 0.000001 	 3664784 kB

	1101	 0.000000 	  322568 kB

	1115	 0.000000 	  907536 kB

	1129	 0.000001 	  365592 kB

	1134	 0.000001 	   49920 kB

	1136	 0.000001 	  220760 kB

	1140	 0.000001 	 1153544 kB

	1141	 0.000001 	  183500 kB

	1159	 0.000001 	  375268 kB

	1162	 0.000001 	  294488 kB

	1164	 0.000000 	  489384 kB

	1167	 0.000001 	  292432 kB

	1175	 0.000000 	  271560 kB

	1183	 0.000001 	  315232 kB

	1184	 0.000000 	  457516 kB

	1188	 0.000001 	  637868 kB

	1191	 0.000000 	  294484 kB

	1194	 0.000001 	  488996 kB

	1196	 0.000000 	  811396 kB

	1198	 0.000000 	  393708 kB

	1200	 0.000001 	  283740 kB

	1201	 0.000001 	  641332 kB

	1208	 0.000000 	 1075304 kB

	1209	 0.000001 	  201996 kB

	1210	 0.000000 	  652080 kB

	1213	 0.000001 	  267008 kB

	1214	 0.000000 	  202016 kB

	1215	 0.000000 	  275732 kB

	1220	 0.000001 	  321436 kB

	1224	 0.000000 	  390552 kB

	1225	 0.000001 	  340936 kB

	1231	 0.000001 	  574196 kB

	1240	 0.000001 	  218632 kB

	1279	 0.000001 	  340712 kB

	1302	 0.000000 	  468764 kB

	1310	 0.000001 	   56936 kB

	1312	 0.000000 	   56936 kB

	1329	 0.000000 	  415340 kB

	1338	 0.000001 	   85584 kB

	1339	 0.000000 	  261684 kB

	1352	 0.000001 	  288368 kB

	1356	 0.000001 	  212128 kB

	1358	 0.000000 	  615860 kB

	1366	 0.000001 	   51160 kB

	1369	 0.000000 	  577964 kB

	1464	 0.000001 	   11300 kB

	1467	 0.000000 	  292088 kB

	1472	 0.000001 	  432020 kB

	1482	 0.000001 	  367872 kB

	1487	 0.000001 	   49920 kB

	1489	 0.000001 	  220784 kB

	1505	 0.000001 	 3934352 kB

	1515	 0.000001 	 1434528 kB

	1532	 0.000000 	  452020 kB

	1536	 0.000001 	  296788 kB

	1538	 0.000001 	  356256 kB

	1540	 0.000001 	  294596 kB

	1545	 0.000001 	  271560 kB

	1556	 0.000001 	  697080 kB

	1560	 0.000000 	 1374396 kB

	1568	 0.000000 	  781704 kB

	1581	 0.000001 	  319552 kB

	1586	 0.000001 	  188024 kB

	1589	 0.000001 	  320184 kB

	1593	 0.000000 	  274044 kB

	1597	 0.000001 	  378812 kB

	1602	 0.000000 	  275872 kB

	1606	 0.000000 	  288660 kB

	1610	 0.000000 	  527384 kB

	1612	 0.000000 	  349324 kB

	1613	 0.000000 	  423344 kB

	1614	 0.000000 	  275732 kB

	1615	 0.000000 	  471720 kB

	1621	 0.000000 	  392720 kB

	1625	 0.000000 	  504756 kB

	1629	 0.000000 	  343096 kB

	1633	 0.000001 	  514444 kB

	1648	 0.000001 	  296648 kB

	1650	 0.000000 	  355868 kB

	1653	 0.000000 	  678316 kB

	1655	 0.000000 	  481668 kB

	1656	 0.000000 	  374768 kB

	1657	 0.000001 	  516600 kB

	1664	 0.000001 	  876952 kB

	1665	 0.000001 	  296648 kB

